Math-exam,Science-exam ',English-exam ',Math19-1 ',Science19-1 ',English19-1 ',Math19-2 ',Science19-2 ',English19-2 ',Math19-3 ',Science19-3 ',English19-3 ',Math20-1 ',Science20-1 ',English20-1 ',Math20-2 ',Science20-2 ',English20-2 ',Math20-3 ',Science20-3 ',English20-3 ',Grade
67.5,72.5,77.5,78.0,87.3,93.1,70.7,83.4,90.5,91.3,88.4,88.4,80.0,87.3,77.7,65.7,89.9,85.6,96.3,100.0,100.0,
77.5,62.5,80.0,87.6,61.7,87.6,100.0,93.1,87.6,83.3,80.0,73.8,89.9,90.8,85.7,90.1,85.6,88.2,92.2,85.6,69.8,
87.5,52.5,82.5,91.3,89.9,79.2,63.0,81.4,85.0,100.0,91.3,92.2,93.1,75.7,90.3,100.0,91.3,69.8,64.7,82.6,68.8,
72.5,87.5,75.0,92.4,79.7,88.3,91.3,88.4,95.5,89.7,81.4,69.8,80.2,87.6,61.7,80.5,68.4,98.6,33.3,61.7,77.7,
67.5,72.5,77.5,100.0,73.3,73.3,95.5,61.7,61.7,91.3,100.0,79.2,44.4,85.6,89.9,44.4,87.6,90.3,83.3,100.0,89.9,
85.0,75.0,60.0,91.3,79.2,75.0,61.7,90.8,73.8,83.3,75.2,78.6,77.7,80.0,78.0,95.5,89.9,90.5,89.5,92.3,91.3,
87.5,60.0,72.5,85.0,88.4,77.7,92.6,73.3,91.3,79.2,90.8,85.6,90.5,61.7,100.0,88.3,93.1,83.2,100.0,69.6,80.5,
50.0,80.0,70.0,64.0,69.8,69.8,100.0,73.3,73.3,90.5,95.5,61.7,100.0,93.1,87.6,44.4,85.6,89.9,100.0,96.3,87.6,
56.0,50.0,86.0,57.0,64.0,61.0,91.0,94.0,62.0,72.0,88.0,57.0,67.0,63.0,86.0,71.0,96.0,69.0,86.0,83.0,70.0,
78.0,64.0,62.0,70.0,91.0,82.0,77.0,57.0,68.0,73.0,62.0,59.0,73.0,79.0,76.0,87.0,78.0,89.0,78.0,87.0,91.0,
85.0,91.0,87.0,79.0,69.0,53.0,90.0,79.0,84.0,88.0,81.0,62.0,74.0,67.0,93.0,97.0,98.0,94.0,93.0,91.0,78.0,
65.0,70.0,75.0,93.1,88.1,93.1,100.0,58.0,58.0,59.3,78.6,56.6,93.4,94.8,73.3,90.3,78.0,84.5,83.3,77.6,85.6,
85.0,70.0,82.5,89.9,92.4,79.2,95.5,87.6,85.0,61.0,93.3,83.7,96.3,91.3,91.3,82.7,85.0,88.2,72.9,90.9,92.4,
