iter	Passed	Remaining
0	142	141996
1	143	71624
2	144	48165
3	146	36436
4	148	29538
5	149	24783
6	152	21628
7	154	19193
8	156	17196
9	157	15582
10	158	14268
11	159	13169
12	161	12257
13	190	13428
14	192	12617
15	193	11893
16	195	11279
17	197	10773
18	202	10457
19	204	10013
20	205	9582
21	206	9197
22	208	8847
23	209	8515
24	210	8215
25	212	7951
26	216	7795
27	218	7592
28	219	7364
29	221	7159
30	222	6968
31	224	6789
32	225	6616
33	227	6467
34	230	6365
35	233	6241
36	234	6115
37	236	5986
38	237	5858
39	238	5735
40	240	5632
41	243	5549
42	246	5478
43	247	5378
44	248	5280
45	250	5196
46	251	5108
47	253	5030
48	254	4948
49	257	4899
50	260	4843
51	261	4775
52	263	4706
53	265	4643
54	266	4577
55	267	4509
56	268	4447
57	269	4384
58	272	4351
59	275	4310
60	277	4265
61	278	4213
62	279	4162
63	281	4112
64	282	4062
65	284	4019
66	285	3970
67	288	3955
68	290	3926
69	292	3885
70	293	3843
71	295	3802
72	296	3763
73	297	3724
74	298	3686
75	300	3652
76	304	3655
77	306	3625
78	307	3588
79	308	3553
80	310	3519
81	311	3486
82	312	3448
83	313	3418
84	314	3389
85	316	3362
86	319	3356
87	321	3335
88	323	3307
89	324	3279
90	325	3252
91	326	3225
92	327	3198
93	329	3176
94	330	3150
95	334	3153
96	336	3133
97	338	3112
98	339	3087
99	340	3065
100	341	3043
101	343	3021
102	344	3000
103	345	2980
104	366	3125
105	368	3108
106	370	3088
107	371	3067
108	374	3059
109	375	3040
110	377	3025
111	382	3034
112	384	3020
113	386	3001
114	387	2983
115	389	2964
116	390	2943
117	391	2926
118	392	2909
119	395	2902
120	398	2894
121	399	2877
122	401	2861
123	402	2843
124	403	2825
125	405	2809
126	406	2791
127	407	2774
128	408	2760
129	412	2760
130	414	2748
131	415	2733
132	416	2717
133	418	2701
134	419	2688
135	420	2673
136	422	2660
137	423	2647
138	426	2644
139	429	2636
140	430	2623
141	431	2606
142	432	2593
143	434	2580
144	435	2567
145	436	2555
146	438	2542
147	439	2531
148	442	2528
149	444	2521
150	446	2509
151	447	2499
152	449	2487
153	451	2477
154	452	2466
155	453	2455
156	457	2456
157	459	2450
158	461	2441
159	462	2430
160	463	2417
161	465	2406
162	466	2395
163	468	2387
164	470	2380
165	473	2378
166	474	2367
167	475	2356
168	477	2346
169	478	2336
170	479	2326
171	481	2316
172	482	2307
173	484	2299
174	487	2296
175	488	2286
176	490	2278
177	492	2272
178	493	2263
179	494	2253
180	495	2242
181	496	2233
182	498	2223
183	501	2223
184	502	2215
185	504	2205
186	505	2197
187	506	2188
188	507	2179
189	509	2171
190	510	2163
191	511	2154
192	513	2145
193	515	2140
194	517	2137
195	519	2129
196	520	2120
197	522	2115
198	523	2109
199	525	2101
200	527	2095
201	530	2094
202	532	2089
203	533	2083
204	535	2076
205	536	2068
206	538	2062
207	542	2064
208	547	2072
209	550	2070
210	551	2063
211	553	2056
212	554	2050
213	556	2043
214	558	2038
215	562	2040
216	563	2034
217	566	2032
218	568	2027
219	569	2020
220	571	2012
221	573	2008
222	577	2012
223	579	2006
224	581	2001
225	583	1997
226	584	1990
227	586	1984
228	587	1977
229	588	1971
230	593	1976
231	595	1970
232	596	1963
233	597	1957
234	599	1950
235	600	1943
236	601	1936
237	603	1930
238	605	1927
239	607	1922
240	609	1919
241	611	1916
242	613	1910
243	614	1904
244	616	1898
245	617	1893
246	619	1887
247	620	1882
248	622	1876
249	624	1872
250	625	1867
251	627	1861
252	628	1855
253	629	1849
254	631	1843
255	632	1837
256	633	1831
257	635	1826
258	644	1843
259	645	1838
260	647	1832
