Gender,Age as of Academic Year 17/18,Current Year (17/18),Proposed Year/Grade (18/19),Year of Admission ,Previous Curriculum (17/18)2,Current School ,Current Curriculum ,Previous year/Grade ,Math-exam,Science-exam ',English-exam ',Math19-1 ',Science19-1 ',English19-1 ',Math19-2 ',Science19-2 ',English19-2 ',Math19-3 ',Science19-3 ',English19-3 ',Math20-1 ',Science20-1 ',English20-1 ',Math20-2 ',Science20-2 ',English20-2 ',Math20-3 ',Science20-3 ',English20-3 '
Male,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,81,59,65,88,82,90,84,86,85,83,52,70,64,62,87,69,98,84,80,98,81
Male,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,66,89,67,76,82,57,58,77,74,95,62,60,60,84,89,74,96,70,82,71,99
Male,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,90,55,87,81,69,73,70,75,80,84,65,71,84,72,88,93,84,74,91,85,86
Female,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,84,73,83,52,62,73,71,63,82,59,68,93,66,83,95,85,99,75,73,84,85
Male,3,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,85,52,69,52,77,57,81,57,94,69,70,58,70,61,85,97,82,75,82,86,69
Female,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,77,86,67,61,89,55,92,87,59,80,51,88,78,81,71,87,85,85,71,78,69
Female,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,69,66,61,82,82,50,91,77,55,54,73,79,67,94,77,95,73,87,72,74,78
Female,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,92,87,99,82,86,69,65,66,73,93,70,80,78,77,76,81,86,82,93,87,83
Male,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,79,72,69,92,67,91,81,94,95,57,76,56,73,81,69,97,96,79,75,91,99
Male,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,55,58,67,59,60,70,45,59,68,67,70,62,68,64,72,74,78,65,60,80,82
Female,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,73,74,57,95,79,55,81,88,76,81,60,64,67,76,66,83,76,82,93,78,80
Female,3,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,86,97,75,68,71,72,89,71,79,93,97,96,99,97,78,93,81,84,96,90,92
Female,3,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,100,86,95,60,64,84,88,89,67,89,73,93,77,100,79,76,81,93,80,89,91
Male,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,83,78,64,55,87,55,93,90,88,73,77,91,92,94,89,98,87,81,73,76,98
Female,3,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,77,56,62,73,92,77,94,80,92,65,51,54,94,94,90,84,79,92,93,78,84
Male,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,50,53,52,59,60,52,60,55,62,53,56,68,59,60,60,59,60,59,61,65,70
Male,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,75,85,88,83,66,60,80,81,72,93,71,89,89,82,83,76,79,86,86,81,86
Male,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,97,80,83,81,88,86,79,86,70,93,93,90,81,84,80,89,85,90,96,86,80
Female,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,52,85,67,64,50,83,70,87,65,86,51,54,91,61,74,97,76,71,94,79,70
Female,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,60,58,54,69,70,58,64,40,55,69,45,50,65,48,50,70,55,59,69,58,58
Female,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,95,75,70,72,95,81,76,90,91,95,56,89,67,93,88,71,73,80,83,90,99
Male,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,98,71,71,67,84,65,78,86,86,92,89,75,79,81,95,93,95,89,83,94,83
Male,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,60,57,80,76,73,73,65,61,86,67,91,56,81,61,74,98,80,84,76,79,80
Female,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,76,54,85,59,65,69,74,81,80,57,76,57,90,69,95,72,69,97,84,92,84
Female,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,60,50,58,51,80,66,59,68,60,57,69,56,65,62,73,81,96,82,88,95,95
Male,4,KG1,KG2,School 1 Current Student,American ,School 1,American ,Grade System,98,79,81,82,86,73,66,74,89,97,87,78,89,86,98,90,76,93,90,93,94
